Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Customer_Profile,Cluster
2023/06/11 10:47:42 PM GMT+5:30,62,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1.0,Yes,Rarely,Found a better price elsewhere,Never,Yes,3,Yes,0,1.0,5.0,Product recommendations,.,518205,Regular Customer,0
2023/06/07 10:10:26 PM GMT+5:30,3,Others,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,Categories,Multiple pages,2.0,No,Always,Found a better price elsewhere,Sometimes,No,3,No,1,2.0,1.0,.,Shipping speed and reliability,977851,At-Risk Customer,2
2023/06/04 9:18:12 PM GMT+5:30,5,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Keyword,First page,5.0,Yes,Often,others,Rarely,No,1,Yes,0,3.0,3.0,Product recommendations,User interface ,591195,Regular Customer,2
2023/06/08 8:26:58 PM GMT+5:30,43,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Keyword,First page,3.0,Maybe,Often,Found a better price elsewhere,Always,No,0,Yes,2,1.0,3.0,Quick delivery,Shipping speed and reliability,270513,Occasional Shopper,2
2023/06/07 1:25:26 PM GMT+5:30,18,Female,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,No,Rarely,Keyword,First page,5.0,Maybe,Rarely,Found a better price elsewhere,Always,No,1,Yes,1,5.0,4.0,Customer service ,Add more familiar brands to the list,856506,Regular Customer,1
2023/06/08 5:40:49 PM GMT+5:30,28,Male,Less than once a month,others,No,Few times a week,Keyword,First page,2.0,No,Always,Found a better price elsewhere,Sometimes,No,3,No,0,4.0,3.0,Customer service,I don't have any problem with Amazon,775528,Regular Customer,1
2023/06/11 11:02:11 PM GMT+5:30,40,Others,Few times a month,Clothing and Fashion;others,Sometimes,Rarely,Categories,First page,5.0,Maybe,Sometimes,Found a better price elsewhere,Never,No,1,Sometimes,0,2.0,4.0,Competitive prices,Nothing,417833,Regular Customer,0
2023/06/10 10:49:42 AM GMT+5:30,46,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Others,First page,2.0,Yes,Rarely,others,Rarely,Yes,4,Sometimes,0,4.0,5.0,All the above,Quality of product is very poor according to the big offers,593663,Regular Customer,0
2023/06/06 11:28:31 PM GMT+5:30,16,Prefer not to say,Less than once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Categories,First page,5.0,Maybe,Often,Found a better price elsewhere,Often,No,2,Yes,2,1.0,2.0,User-friendly website/app interface,I don't have any problem with Amazon,627695,At-Risk Customer,2
2023/06/12 4:03:59 PM GMT+5:30,37,Others,Once a week,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a week,Categories,Multiple pages,3.0,Maybe,Always,Changed my mind or no longer need the item,Rarely,No,3,No,1,4.0,5.0,Wide product selection,Product quality and accuracy,898287,Frequent Buyer,0
2023/06/08 5:57:03 PM GMT+5:30,20,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,5.0,No,Sometimes,High shipping costs,Rarely,No,0,No,2,5.0,4.0,.,UI,929547,Occasional Shopper,1
2023/06/11 11:09:33 PM GMT+5:30,6,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Multiple times a day,Categories,First page,5.0,Yes,Often,Changed my mind or no longer need the item,Sometimes,No,1,No,0,5.0,3.0,Customer service,UI,860129,Regular Customer,1
2023/06/09 2:43:37 PM GMT+5:30,50,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,First page,5.0,No,Often,High shipping costs,Never,Yes,2,Sometimes,2,4.0,1.0,Quick delivery,Reducing packaging waste,443283,At-Risk Customer,1
2023/06/09 10:31:15 AM GMT+5:30,57,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,Categories,Multiple pages,1.0,No,Sometimes,High shipping costs,Always,No,3,Yes,2,3.0,2.0,Customer service ,User interface ,527423,At-Risk Customer,1
2023/06/05 2:16:16 PM GMT+5:30,49,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a month,Keyword,First page,1.0,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,4,Sometimes,2,4.0,1.0,User-friendly website/app interface,Product quality and accuracy,419821,At-Risk Customer,1
2023/06/06 7:18:52 PM GMT+5:30,51,Prefer not to say,Multiple times a week,Clothing and Fashion;Home and Kitchen,No,Rarely,Others,First page,4.0,Maybe,Never,Found a better price elsewhere,Never,No,0,Sometimes,2,1.0,5.0,Quick delivery,Nil,375497,Regular Customer,0
2023/06/06 6:36:16 PM GMT+5:30,37,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Categories,Multiple pages,1.0,Maybe,Rarely,Found a better price elsewhere,Never,No,1,No,1,3.0,2.0,Quick delivery,Reducing packaging waste,944516,At-Risk Customer,1
2023/06/09 9:35:19 AM GMT+5:30,39,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,5.0,Maybe,Sometimes,Changed my mind or no longer need the item,Often,No,1,No,0,2.0,5.0,Customer service ,Quality of product is very poor according to the big offers,539756,Regular Customer,0
2023/06/08 5:48:14 PM GMT+5:30,13,Others,Once a month,Clothing and Fashion;others,No,Multiple times a day,Keyword,Multiple pages,5.0,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,3,Sometimes,2,1.0,2.0,Product recommendations,Product quality and accuracy,285145,At-Risk Customer,2
2023/06/07 12:30:22 PM GMT+5:30,58,Others,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1.0,No,Always,High shipping costs,Rarely,No,0,No,1,1.0,2.0,Customer service ,User interface ,347345,At-Risk Customer,2
2023/06/07 10:39:21 PM GMT+5:30,35,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,Keyword,First page,3.0,Maybe,Often,High shipping costs,Often,Yes,0,Sometimes,0,2.0,1.0,User-friendly website/app interface,Shipping speed and reliability,455372,At-Risk Customer,2
2023/06/09 4:30:15 PM GMT+5:30,26,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,5.0,Maybe,Always,Changed my mind or no longer need the item,Often,Yes,1,Yes,1,4.0,1.0,Product recommendations,Irrelevant product suggestions,442259,At-Risk Customer,1
2023/06/12 3:51:31 PM GMT+5:30,39,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Others,First page,1.0,Maybe,Never,Found a better price elsewhere,Sometimes,No,4,Sometimes,1,5.0,3.0,All the above,Shipping speed and reliability,234621,Occasional Shopper,1
2023/06/11 11:28:26 PM GMT+5:30,54,Male,Multiple times a week,Home and Kitchen;others,Sometimes,Few times a month,Filter,Multiple pages,2.0,No,Rarely,others,Sometimes,No,3,Sometimes,1,4.0,2.0,Competitive prices,better app interface and lower shipping charges,581857,At-Risk Customer,1
2023/06/09 4:32:28 PM GMT+5:30,61,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Others,Multiple pages,2.0,Maybe,Rarely,High shipping costs,Always,Yes,4,Yes,2,2.0,4.0,Customer service ,Quality of product is very poor according to the big offers,690565,Regular Customer,0
2023/06/09 10:30:39 AM GMT+5:30,64,Female,Less than once a month,Home and Kitchen,Sometimes,Few times a week,Others,First page,5.0,Maybe,Sometimes,High shipping costs,Often,No,0,Yes,2,4.0,3.0,User-friendly website/app interface,I don't have any problem with Amazon,558592,Regular Customer,1
2023/06/09 3:08:38 PM GMT+5:30,13,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Keyword,First page,5.0,Maybe,Always,High shipping costs,Never,Yes,2,Sometimes,2,3.0,3.0,Customer service,Customer service responsiveness,411493,Regular Customer,2
2023/06/06 7:54:19 PM GMT+5:30,60,Female,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,2.0,Yes,Sometimes,High shipping costs,Never,Yes,4,No,2,1.0,5.0,Wide product selection,Scrolling option would be much better than going to next page,229321,Frequent Buyer,0
2023/06/07 6:30:43 PM GMT+5:30,65,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,2.0,No,Often,others,Rarely,No,4,Yes,2,4.0,4.0,Product recommendations,No problems with Amazon,946123,Regular Customer,0
2023/06/05 10:36:38 AM GMT+5:30,55,Female,Once a week,Beauty and Personal Care;others,Yes,Multiple times a day,Keyword,First page,3.0,Maybe,Always,Changed my mind or no longer need the item,Rarely,Yes,1,Yes,1,2.0,1.0,Quick delivery,Product quality and accuracy,969547,At-Risk Customer,2
2023/06/08 5:48:14 PM GMT+5:30,46,Others,Once a month,others,No,Multiple times a day,Keyword,First page,5.0,Maybe,Never,Found a better price elsewhere,Often,No,1,No,2,3.0,2.0,Customer service,UI,603291,At-Risk Customer,1
2023/06/08 10:39:59 PM GMT+5:30,7,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,Categories,Multiple pages,1.0,Yes,Sometimes,High shipping costs,Always,No,2,Sometimes,1,1.0,1.0,Wide product selection,User interface of app,735358,At-Risk Customer,2
2023/06/07 6:20:53 PM GMT+5:30,37,Female,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Few times a week,Categories,Multiple pages,1.0,Maybe,Sometimes,others,Sometimes,Yes,4,No,1,2.0,3.0,Competitive prices,Nil,180988,Regular Customer,2
2023/06/08 9:17:38 PM GMT+5:30,56,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,5.0,No,Often,Changed my mind or no longer need the item,Rarely,Yes,1,No,2,3.0,1.0,Customer service ,Nil,879901,At-Risk Customer,1
2023/06/07 11:05:19 PM GMT+5:30,32,Others,Less than once a month,Home and Kitchen;others,No,Few times a month,Categories,First page,5.0,Maybe,Sometimes,others,Never,Yes,2,Sometimes,2,3.0,5.0,Quick delivery,Add more familiar brands to the list,140304,Regular Customer,0
2023/06/11 11:24:21 PM GMT+5:30,58,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Categories,First page,2.0,No,Always,others,Never,Yes,0,No,1,4.0,2.0,All the above,UI,704818,At-Risk Customer,1
2023/06/08 5:23:05 PM GMT+5:30,20,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Others,Multiple pages,2.0,Yes,Always,High shipping costs,Never,No,4,Sometimes,2,4.0,4.0,.,Product quality and accuracy,288823,Occasional Shopper,0
2023/06/08 5:33:01 PM GMT+5:30,9,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,Keyword,Multiple pages,4.0,No,Always,Found a better price elsewhere,Never,Yes,4,Yes,1,3.0,1.0,User-friendly website/app interface,User interface ,270994,At-Risk Customer,1
2023/06/11 11:22:19 PM GMT+5:30,5,Others,Less than once a month,Home and Kitchen,Yes,Rarely,Filter,Multiple pages,5.0,No,Rarely,Changed my mind or no longer need the item,Often,No,0,Sometimes,2,3.0,3.0,Quick delivery,User interface of app,923112,Regular Customer,2
2023/06/04 9:10:08 PM GMT+5:30,33,Male,Less than once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Others,First page,3.0,No,Often,Found a better price elsewhere,Often,Yes,0,Yes,2,2.0,3.0,.,UI,339162,Regular Customer,2
2023/06/07 10:57:14 AM GMT+5:30,56,Prefer not to say,Multiple times a week,Clothing and Fashion;others,No,Multiple times a day,Categories,First page,4.0,No,Rarely,High shipping costs,Never,No,2,Sometimes,0,5.0,3.0,Quick delivery,better app interface and lower shipping charges,849712,Regular Customer,1
2023/06/06 9:37:33 AM GMT+5:30,52,Prefer not to say,Few times a month,Clothing and Fashion;others,Sometimes,Rarely,Filter,First page,5.0,No,Often,Found a better price elsewhere,Rarely,No,3,Yes,0,4.0,5.0,.,User interface of app,820581,Regular Customer,0
2023/06/11 11:27:55 PM GMT+5:30,12,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Multiple times a day,Filter,Multiple pages,4.0,Yes,Rarely,Found a better price elsewhere,Sometimes,Yes,3,No,1,4.0,1.0,Wide product selection,Nil,618765,At-Risk Customer,1
2023/06/12 3:45:27 PM GMT+5:30,10,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a week,Filter,Multiple pages,1.0,Yes,Sometimes,Found a better price elsewhere,Always,No,1,Yes,0,2.0,4.0,Competitive prices,.,353310,Regular Customer,0
2023/06/12 4:03:59 PM GMT+5:30,42,Others,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Multiple times a day,Others,Multiple pages,4.0,Maybe,Often,others,Often,Yes,3,Yes,2,2.0,5.0,Customer service,Nil,982706,Occasional Shopper,0
2023/06/09 2:42:57 PM GMT+5:30,55,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,First page,5.0,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,0,No,0,2.0,4.0,Quick delivery,Product quality and accuracy,992395,Regular Customer,0
2023/06/12 4:02:02 PM GMT+5:30,25,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,Keyword,Multiple pages,2.0,Yes,Often,others,Sometimes,No,4,Yes,0,4.0,1.0,Customer service ,Customer service responsiveness,633158,At-Risk Customer,1
2023/06/05 10:05:25 PM GMT+5:30,42,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Keyword,First page,2.0,Yes,Rarely,others,Often,Yes,3,No,1,3.0,2.0,Quick delivery,Shipping speed and reliability,207609,At-Risk Customer,1
2023/06/08 5:43:45 PM GMT+5:30,66,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,No,Few times a week,Keyword,First page,5.0,No,Often,High shipping costs,Often,Yes,1,Yes,1,1.0,3.0,Quick delivery,Add more familiar brands to the list,335999,Regular Customer,2
2023/06/07 10:09:54 PM GMT+5:30,43,Prefer not to say,Once a week,Home and Kitchen;others,Sometimes,Few times a month,Categories,Multiple pages,3.0,No,Rarely,Changed my mind or no longer need the item,Never,No,1,Yes,2,1.0,1.0,All the above,Shipping speed and reliability,297506,At-Risk Customer,2
2023/06/05 12:02:56 AM GMT+5:30,17,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Categories,Multiple pages,5.0,No,Always,others,Always,Yes,0,No,0,4.0,5.0,Wide product selection,UI,190212,Regular Customer,0
2023/06/12 3:48:11 PM GMT+5:30,30,Others,Multiple times a week,Clothing and Fashion;others,Yes,Rarely,Filter,First page,5.0,No,Always,others,Never,Yes,0,No,1,3.0,4.0,All the above,User interface ,973395,Regular Customer,0
2023/06/07 11:02:45 PM GMT+5:30,48,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Categories,First page,4.0,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,No,2,No,0,3.0,5.0,.,I have no problem with Amazon yet. But others tell me about the refund issues ,606855,Regular Customer,0
2023/06/04 9:10:08 PM GMT+5:30,16,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,Yes,Multiple times a day,Categories,Multiple pages,5.0,Maybe,Never,others,Often,No,2,Sometimes,0,4.0,2.0,User-friendly website/app interface,Customer service responsiveness,250358,At-Risk Customer,1
2023/06/05 10:05:25 PM GMT+5:30,57,Prefer not to say,Once a month,Home and Kitchen,Sometimes,Rarely,Categories,First page,1.0,Maybe,Always,Found a better price elsewhere,Never,Yes,0,No,2,4.0,4.0,.,Irrelevant product suggestions,552072,Occasional Shopper,0
2023/06/04 8:00:11 PM GMT+5:30,48,Female,Once a month,Home and Kitchen;others,No,Multiple times a day,Others,First page,2.0,No,Often,Changed my mind or no longer need the item,Often,No,2,Sometimes,2,2.0,5.0,Quick delivery,Nothing,433536,Occasional Shopper,0
2023/06/09 10:26:01 AM GMT+5:30,17,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Categories,First page,2.0,No,Rarely,others,Never,No,2,Yes,1,2.0,1.0,Competitive prices,.,248097,At-Risk Customer,2
2023/06/09 10:30:39 AM GMT+5:30,4,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Few times a week,Others,First page,3.0,No,Often,High shipping costs,Rarely,No,0,No,0,5.0,2.0,Competitive prices,I don't have any problem with Amazon,707115,At-Risk Customer,1
2023/06/05 10:06:15 PM GMT+5:30,63,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,Categories,First page,2.0,Maybe,Rarely,Found a better price elsewhere,Rarely,Yes,3,Sometimes,1,1.0,4.0,User-friendly website/app interface,User interface ,471770,Frequent Buyer,0
2023/06/08 5:09:31 PM GMT+5:30,6,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a week,Others,Multiple pages,5.0,Yes,Always,High shipping costs,Often,No,0,Yes,1,3.0,4.0,All the above,UI,126786,Occasional Shopper,0
2023/06/07 9:24:31 AM GMT+5:30,13,Male,Once a month,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Categories,First page,3.0,No,Never,Changed my mind or no longer need the item,Rarely,Yes,3,No,2,3.0,1.0,Customer service ,Nil,923965,At-Risk Customer,1
2023/06/06 11:20:53 AM GMT+5:30,15,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1.0,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,3,Yes,2,5.0,4.0,Quick delivery,Product quality and accuracy,766692,Occasional Shopper,1
2023/06/09 2:36:09 PM GMT+5:30,7,Male,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Keyword,First page,2.0,No,Sometimes,Found a better price elsewhere,Rarely,No,0,Sometimes,2,2.0,4.0,Competitive prices,Irrelevant product suggestions,377198,Regular Customer,0
2023/06/06 7:39:44 PM GMT+5:30,32,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Categories,First page,1.0,Maybe,Rarely,Changed my mind or no longer need the item,Often,Yes,1,Sometimes,2,4.0,3.0,Product recommendations,Irrelevant product suggestions,796310,Regular Customer,1
2023/06/09 2:36:09 PM GMT+5:30,20,Prefer not to say,Less than once a month,Groceries and Gourmet Food,Yes,Rarely,Filter,First page,3.0,No,Never,others,Rarely,No,1,Yes,2,4.0,1.0,Product recommendations,I have no problem with Amazon yet. But others tell me about the refund issues ,779009,At-Risk Customer,1
2023/06/08 7:46:31 PM GMT+5:30,61,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,Others,Multiple pages,3.0,Maybe,Never,others,Often,Yes,2,Sometimes,0,5.0,3.0,Product recommendations,No problems with Amazon,306518,Regular Customer,1
2023/06/11 11:05:38 PM GMT+5:30,49,Female,Few times a month,Clothing and Fashion,Sometimes,Multiple times a day,Keyword,First page,1.0,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,No,3,Sometimes,0,3.0,2.0,.,Product quality and accuracy,975752,At-Risk Customer,1
2023/06/08 5:16:17 PM GMT+5:30,36,Female,Once a week,Beauty and Personal Care;others,Sometimes,Rarely,Categories,Multiple pages,3.0,Yes,Never,Changed my mind or no longer need the item,Never,No,4,Sometimes,2,1.0,3.0,Quick delivery,Irrelevant product suggestions,704027,Regular Customer,2
2023/06/12 4:03:59 PM GMT+5:30,15,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a week,Filter,Multiple pages,4.0,Yes,Often,others,Never,No,4,Yes,1,4.0,2.0,User-friendly website/app interface,better app interface and lower shipping charges,160273,At-Risk Customer,1
2023/06/11 10:48:27 PM GMT+5:30,26,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Others,Multiple pages,2.0,No,Sometimes,Changed my mind or no longer need the item,Never,Yes,2,Yes,2,5.0,4.0,Quick delivery,User interface ,812745,Regular Customer,1
2023/06/11 11:20:18 PM GMT+5:30,60,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a month,Categories,First page,5.0,Yes,Never,Found a better price elsewhere,Always,Yes,0,Sometimes,0,3.0,4.0,User-friendly website/app interface,No problems with Amazon,812778,Regular Customer,0
2023/06/05 1:32:57 PM GMT+5:30,40,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,Filter,First page,2.0,Yes,Always,Found a better price elsewhere,Often,Yes,3,Yes,2,4.0,3.0,.,.,530173,Regular Customer,1
2023/06/08 5:32:09 PM GMT+5:30,7,Prefer not to say,Less than once a month,Clothing and Fashion;others,No,Rarely,Filter,Multiple pages,5.0,Yes,Always,others,Sometimes,No,4,Yes,2,4.0,1.0,Customer service ,Quality of product is very poor according to the big offers,938071,At-Risk Customer,1
2023/06/08 5:15:27 PM GMT+5:30,50,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Multiple times a day,Categories,First page,1.0,Maybe,Sometimes,High shipping costs,Never,Yes,4,Sometimes,0,5.0,1.0,Wide product selection,Scrolling option would be much better than going to next page,663272,At-Risk Customer,1
2023/06/07 3:08:03 AM GMT+5:30,6,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a month,Filter,First page,5.0,Yes,Sometimes,Changed my mind or no longer need the item,Never,Yes,0,Yes,2,4.0,5.0,Wide product selection,Quality of product is very poor according to the big offers,579765,Regular Customer,0
2023/06/05 10:04:32 PM GMT+5:30,34,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,4.0,Maybe,Always,High shipping costs,Often,No,2,No,0,3.0,4.0,Product recommendations,UI,454888,Occasional Shopper,0
2023/06/07 12:01:15 PM GMT+5:30,42,Female,Once a week,Clothing and Fashion;others,Yes,Rarely,Categories,First page,2.0,No,Sometimes,Changed my mind or no longer need the item,Never,No,1,No,2,2.0,2.0,Wide product selection,Nothing,683295,At-Risk Customer,2
2023/06/11 11:04:55 PM GMT+5:30,61,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,Filter,First page,5.0,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,3,Yes,2,4.0,4.0,.,User interface of app,655488,Occasional Shopper,0
2023/06/07 10:07:42 PM GMT+5:30,10,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,5.0,Maybe,Always,Changed my mind or no longer need the item,Never,No,3,Yes,0,4.0,2.0,Customer service ,Reducing packaging waste,454048,At-Risk Customer,1
2023/06/11 11:04:55 PM GMT+5:30,51,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Categories,First page,2.0,Maybe,Rarely,Found a better price elsewhere,Rarely,No,1,Sometimes,1,1.0,5.0,User-friendly website/app interface,Add more familiar brands to the list,289527,Regular Customer,0
2023/06/07 12:58:28 AM GMT+5:30,14,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Keyword,First page,5.0,Maybe,Never,others,Sometimes,Yes,2,Yes,0,3.0,1.0,Product recommendations,UI,601974,At-Risk Customer,1
2023/06/08 5:20:43 PM GMT+5:30,65,Others,Once a week,Home and Kitchen;others,Yes,Few times a week,Keyword,First page,5.0,Maybe,Sometimes,Found a better price elsewhere,Rarely,No,3,No,0,4.0,1.0,.,.,567064,At-Risk Customer,1
2023/06/09 2:39:47 PM GMT+5:30,9,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,First page,1.0,Yes,Sometimes,Found a better price elsewhere,Always,Yes,3,No,0,4.0,2.0,Quick delivery,.,959470,At-Risk Customer,1
2023/06/08 9:17:38 PM GMT+5:30,29,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Keyword,First page,2.0,Yes,Often,Changed my mind or no longer need the item,Rarely,No,3,Sometimes,2,4.0,5.0,All the above,User interface of app,372386,Regular Customer,0
2023/06/08 5:33:01 PM GMT+5:30,10,Others,Few times a month,Groceries and Gourmet Food,No,Few times a week,Others,First page,5.0,Yes,Often,Changed my mind or no longer need the item,Often,No,4,Sometimes,2,1.0,3.0,Quick delivery,User interface ,805683,Regular Customer,2
2023/06/07 9:28:09 AM GMT+5:30,29,Male,Multiple times a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Categories,Multiple pages,5.0,No,Always,others,Sometimes,Yes,0,No,0,3.0,5.0,All the above,Quality of product is very poor according to the big offers,123843,Regular Customer,0
2023/06/08 3:26:38 AM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,1.0,Maybe,Always,High shipping costs,Often,Yes,0,Yes,0,1.0,1.0,Customer service ,Nothing,437743,At-Risk Customer,2
2023/06/06 9:59:35 AM GMT+5:30,9,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Few times a week,Others,First page,3.0,Maybe,Always,Found a better price elsewhere,Never,Yes,1,No,0,4.0,1.0,.,I don't have any problem with Amazon,700762,At-Risk Customer,1
2023/06/07 11:54:03 AM GMT+5:30,47,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a month,Categories,Multiple pages,4.0,No,Always,Changed my mind or no longer need the item,Sometimes,No,0,Sometimes,2,1.0,2.0,Customer service ,Add more familiar brands to the list,649239,At-Risk Customer,2
2023/06/08 7:46:31 PM GMT+5:30,60,Others,Multiple times a week,others,No,Rarely,Filter,First page,1.0,No,Rarely,Changed my mind or no longer need the item,Always,No,1,No,1,2.0,3.0,Customer service ,Reducing packaging waste,563426,Regular Customer,2
2023/06/06 6:33:23 PM GMT+5:30,52,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Others,First page,1.0,No,Rarely,Found a better price elsewhere,Sometimes,No,1,No,1,2.0,4.0,.,I don't have any problem with Amazon,440622,Frequent Buyer,0
2023/06/05 12:05:20 AM GMT+5:30,49,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a week,Keyword,Multiple pages,1.0,No,Never,Found a better price elsewhere,Always,Yes,0,Sometimes,2,2.0,3.0,Competitive prices,Shipping speed and reliability,108113,Regular Customer,2
